date,image_id,cloud_percentage,ndvi_mean,ndwi_mean,ndmi_mean,ndre_mean,latitude,longitude,buffer_m
2025-12-23,20251223T051129_20251223T051848_T44PKV,11.266937,0.382657159511549,-0.37636666157687976,0.03473074416402142,0.2483520570303823,13.294219,78.624294,500
2025-12-23,20251223T051129_20251223T051848_T43PHQ,8.573963,0.39045918838667815,-0.38639453379848754,0.03650983387807802,0.2556568066035795,13.294219,78.624294,500
2025-12-28,20251228T051231_20251228T052411_T44PKV,19.102386,0.4590830129611146,-0.4672768380940069,0.02539366032607454,0.2491299089243325,13.294219,78.624294,500
2026-01-07,20260107T051211_20260107T052302_T44PKV,7.292216,0.42625923522625553,-0.4664640468915906,-0.06809680019205959,0.23587341453452124,13.294219,78.624294,500
2026-01-07,20260107T051211_20260107T052302_T43PHQ,1.415002,0.42337760422769916,-0.46475649492530424,-0.06733935367860627,0.23522807100761234,13.294219,78.624294,500
2026-01-17,20260117T051141_20260117T052059_T44PKV,1.471511,0.4361371686900356,-0.5080078104930276,-0.08820120766010864,0.2610224407078844,13.294219,78.624294,500
2026-01-17,20260117T051141_20260117T052059_T43PHQ,0.321389,0.4379708352132285,-0.513331089782477,-0.08744816583369637,0.2627416701341604,13.294219,78.624294,500
2026-01-22,20260122T051019_20260122T052254_T44PKV,4.753757,0.3947232408518072,-0.4681832090997937,-0.09505566493849196,0.25333940184147785,13.294219,78.624294,500
2026-01-22,20260122T051019_20260122T052254_T43PHQ,0.855146,0.3966272078421326,-0.47300706595669206,-0.09534667343765899,0.2544195668945604,13.294219,78.624294,500
2026-01-27,20260127T051101_20260127T052505_T43PHQ,15.357342,0.3818094837736805,-0.4491498257311307,-0.135859125203094,0.20022114000493765,13.294219,78.624294,500
2026-01-27,20260127T051101_20260127T051814_T43PHQ,5.646624,0.3686996391641956,-0.4341363256215861,-0.13964415140115866,0.19993745118553385,13.294219,78.624294,500
2026-02-01,20260201T050929_20260201T051504_T44PKV,10.415778,0.3510604515589646,-0.41646389003966655,-0.13896728198322067,0.216540248059271,13.294219,78.624294,500
2026-02-01,20260201T050929_20260201T051504_T43PHQ,0.307401,0.35139072578262104,-0.41822810108314373,-0.13885903335413616,0.21656263562307118,13.294219,78.624294,500
2026-02-06,20260206T051011_20260206T052200_T44PKV,1.430028,0.35151140656613683,-0.440516600870456,-0.14889097602210905,0.19977193585108527,13.294219,78.624294,500
2026-02-06,20260206T051011_20260206T052200_T43PHQ,0.047691,0.3526577326485887,-0.4440066739392337,-0.1486371541960011,0.2005596058154722,13.294219,78.624294,500
2026-02-11,20260211T050839_20260211T051615_T43PHQ,11.607075,0.3399506198893976,-0.42376124331353116,-0.12138599866644921,0.21911548738005845,13.294219,78.624294,500
2026-02-26,20260226T050801_20260226T051550_T44PKV,1.05491,0.3161726937309449,-0.41896357163055076,-0.1657675555279924,0.17485837653548447,13.294219,78.624294,500
2026-02-26,20260226T050801_20260226T051550_T43PHQ,6.417895,0.31955375128496427,-0.42634439195778034,-0.1661996958622799,0.17625387681192003,13.294219,78.624294,500
2026-03-03,20260303T050649_20260303T052248_T44PKV,0.019847,0.32339514483427595,-0.43011574288715315,-0.15686727045405563,0.2019751986732844,13.294219,78.624294,500
