date,mango_stage,constant_kc,phenology_kc,constant_et0,phenology_et0,constant_etc,phenology_etc,etc_difference,etc_percent_difference,constant_root_zone_depletion,phenology_root_zone_depletion,depletion_difference,constant_ks,phenology_ks,ks_difference,constant_water_stress_level,phenology_water_stress_level,stress_level_changed
2025-07-11,Rest / vegetative phase,0.75,0.6,6.621756286867864,6.621756286867864,4.966317215150898,3.973053772120718,-0.9932634430301799,-20.000000000000007,151.67763494145714,151.67763494145714,0.0,0.0,0.0,0.0,High,High,False
2025-07-12,Rest / vegetative phase,0.75,0.6,6.081821363296644,6.081821363296644,4.561366022472483,3.649092817977986,-0.9122732044944972,-20.000000000000014,151.67763494145714,151.67763494145714,0.0,0.0,0.0,0.0,High,High,False
2025-07-13,Rest / vegetative phase,0.75,0.6,6.07585978365274,6.07585978365274,4.556894837739556,3.645515870191644,-0.9113789675479116,-20.00000000000001,151.67763494145714,151.55315081164878,-0.12448412980836565,0.0,0.0016414302590676,0.0016414302590676,High,High,False
2025-07-14,Rest / vegetative phase,0.75,0.6,5.394538340397768,5.394538340397768,4.045903755298326,3.236723004238661,-0.8091807510596651,-20.0,151.67763494145714,151.67763494145714,0.0,0.0,0.0,0.0,High,High,False
2025-07-15,Rest / vegetative phase,0.75,0.6,5.8568170348777935,5.8568170348777935,4.392612776158345,3.514090220926676,-0.8785225552316693,-20.000000000000007,151.67763494145714,151.67763494145714,0.0,0.0,0.0,0.0,High,High,False
2025-07-16,Rest / vegetative phase,0.75,0.6,5.2766295358301045,5.2766295358301045,3.9574721518725786,3.1659777214980624,-0.7914944303745162,-20.00000000000001,145.40510709332972,144.6136126629552,-0.7914944303745131,0.0827086715922017,0.0931452060315738,0.010436534439372092,High,High,False
2025-07-17,Rest / vegetative phase,0.75,0.6,4.473755307136555,4.473755307136555,3.3553164803524163,2.684253184281933,-0.6710632960704834,-20.000000000000007,128.28042357368213,126.81786584723712,-1.462557726445013,0.3085123443124045,0.3277974251617928,0.019285080849388292,High,High,False
2025-07-18,Rest / vegetative phase,0.75,0.6,3.994801601058109,3.994801601058109,2.996101200793582,2.3968809606348653,-0.5992202401587168,-20.00000000000001,127.24652477447572,125.184746807872,-2.0617779666037137,0.3221451887275415,0.3493315035378892,0.027186314810347723,High,High,False
2025-07-19,Rest / vegetative phase,0.75,0.6,4.182526957875894,4.182526957875894,3.136895218406921,2.5095161747255363,-0.6273790436813846,-20.000000000000014,123.66341999288264,120.97426298259752,-2.689157010285115,0.369391505338109,0.4048503521393931,0.03545884680128408,High,High,False
2025-07-20,Rest / vegetative phase,0.75,0.6,4.973429385110832,4.973429385110832,3.730072038833124,2.984057631066499,-0.7460144077666251,-20.000000000000007,119.33349203171576,115.89832061366404,-3.4351714180517234,0.4264853275464799,0.4717810155940633,0.04529568804758344,High,High,False
