date,et0_mm,etc_mm,rainfall_mm,root_zone_depletion_mm,taw_mm,raw_mm,water_stress_coefficient_ks,water_stress_level
2025-08-09,3.536560932462158,2.652420699346618,3.6,100.1794192417857,151.67763494145714,75.83881747072857,0.6790482422744548,Medium
2025-08-10,2.988371163599357,2.241278372699518,24.94,77.48069761448521,151.67763494145714,75.83881747072857,0.978350398931387,Low
2025-08-11,3.2226486817610906,2.416986511320818,3.47,76.42768412580602,151.67763494145714,75.83881747072857,0.9922352869583609,Low
2025-08-12,3.3474816065251924,2.510611204893894,3.17,75.76829533069991,151.67763494145714,75.83881747072857,1.0,Low
2025-08-13,2.9143425286954265,2.18575689652157,2.3,75.65405222722148,151.67763494145714,75.83881747072857,1.0,Low
2025-08-14,4.049195906547987,3.0368969299109905,3.27,75.42094915713248,151.67763494145714,75.83881747072857,1.0,Low
2025-08-15,4.42858711574608,3.3214403368095597,3.51,75.23238949394204,151.67763494145714,75.83881747072857,1.0,Low
2025-08-16,3.9504482537035983,2.9628361902776987,5.94,72.25522568421974,151.67763494145714,75.83881747072857,1.0,Low
2025-08-17,3.1017848995590387,2.326338674669279,7.67,66.91156435888901,151.67763494145714,75.83881747072857,1.0,Low
2025-08-18,3.6059045532651477,2.7044284149488607,1.34,68.27599277383787,151.67763494145714,75.83881747072857,1.0,Low
2025-08-19,4.441765208118677,3.3313239060890076,0.25,71.35731667992688,151.67763494145714,75.83881747072857,1.0,Low
2025-08-20,4.483731352560289,3.362798514420217,0.4,74.3201151943471,151.67763494145714,75.83881747072857,1.0,Low
2025-08-21,4.368971869068262,3.2767289018011967,0.69,76.90684409614829,151.67763494145714,75.83881747072857,0.9859171508596908,Low
2025-08-22,4.3101614760559395,3.232621107041955,3.57,76.56946520319025,151.67763494145714,75.83881747072857,0.9903657815769124,Low
2025-08-23,3.774163948286282,2.8306229612147114,8.89,70.51008816440496,151.67763494145714,75.83881747072857,1.0,Low
2025-08-24,5.401119607733134,4.05083970579985,0.03,74.5309278702048,151.67763494145714,75.83881747072857,1.0,Low
